"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"Month"	"Month Code"	Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jan., 2018"	"2018/01"	128
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Feb., 2018"	"2018/02"	113
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Mar., 2018"	"2018/03"	115
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Apr., 2018"	"2018/04"	106
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"May, 2018"	"2018/05"	108
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jun., 2018"	"2018/06"	127
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jul., 2018"	"2018/07"	130
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Aug., 2018"	"2018/08"	108
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Sep., 2018"	"2018/09"	100
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Oct., 2018"	"2018/10"	121
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Nov., 2018"	"2018/11"	120
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Dec., 2018"	"2018/12"	133
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jan., 2019"	"2019/01"	130
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Feb., 2019"	"2019/02"	101
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Mar., 2019"	"2019/03"	126
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Apr., 2019"	"2019/04"	112
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"May, 2019"	"2019/05"	133
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jun., 2019"	"2019/06"	100
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jul., 2019"	"2019/07"	106
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Aug., 2019"	"2019/08"	119
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Sep., 2019"	"2019/09"	109
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Oct., 2019"	"2019/10"	128
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Nov., 2019"	"2019/11"	102
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Dec., 2019"	"2019/12"	130
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jan., 2018"	"2018/01"	167
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Feb., 2018"	"2018/02"	142
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Mar., 2018"	"2018/03"	147
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Apr., 2018"	"2018/04"	159
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"May, 2018"	"2018/05"	149
