Notes	Census Region	Census Region Code	State	State Code	Month	Month Code	Deaths	Population	Crude Rate
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Jan., 2018"	2018/01	622	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Feb., 2018"	2018/02	566	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Mar., 2018"	2018/03	610	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Apr., 2018"	2018/04	553	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"May, 2018"	2018/05	566	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Jun., 2018"	2018/06	590	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Jul., 2018"	2018/07	606	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Aug., 2018"	2018/08	562	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Sep., 2018"	2018/09	562	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Oct., 2018"	2018/10	610	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Nov., 2018"	2018/11	597	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Dec., 2018"	2018/12	603	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Jan., 2019"	2019/01	650	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Feb., 2019"	2019/02	574	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Mar., 2019"	2019/03	602	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Apr., 2019"	2019/04	552	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"May, 2019"	2019/05	564	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Jun., 2019"	2019/06	583	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Jul., 2019"	2019/07	620	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Aug., 2019"	2019/08	615	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Sep., 2019"	2019/09	536	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Oct., 2019"	2019/10	565	Not Applicable	Not Applicable
