"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"Month"	"Month Code"	Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jan., 2018"	"2018/01"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Feb., 2018"	"2018/02"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Mar., 2018"	"2018/03"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Apr., 2018"	"2018/04"	25
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"May, 2018"	"2018/05"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jun., 2018"	"2018/06"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jul., 2018"	"2018/07"	35
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Aug., 2018"	"2018/08"	29
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Sep., 2018"	"2018/09"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Oct., 2018"	"2018/10"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Nov., 2018"	"2018/11"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Dec., 2018"	"2018/12"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jan., 2019"	"2019/01"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Feb., 2019"	"2019/02"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Mar., 2019"	"2019/03"	25
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Apr., 2019"	"2019/04"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"May, 2019"	"2019/05"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jun., 2019"	"2019/06"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jul., 2019"	"2019/07"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Aug., 2019"	"2019/08"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Sep., 2019"	"2019/09"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Oct., 2019"	"2019/10"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Nov., 2019"	"2019/11"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Dec., 2019"	"2019/12"	35
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jan., 2018"	"2018/01"	36
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Feb., 2018"	"2018/02"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Mar., 2018"	"2018/03"	31
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Apr., 2018"	"2018/04"	32
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"May, 2018"	"2018/05"	31
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jun., 2018"	"2018/06"	29
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jul., 2018"	"2018/07"	38
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Aug., 2018"	"2018/08"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Sep., 2018"	"2018/09"	32
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Oct., 2018"	"2018/10"	33
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Nov., 2018"	"2018/11"	38
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Dec., 2018"	"2018/12"	37
