"","State","Month.Code","Deaths","Year","Month","Administered_Dose1_18_to_65","Series_Complete_18_to_65","Population","date","fips","cases","deaths"
"1","Connecticut","2018/01",622,2018,"01",0,0,2265684,"0",0,0,0
"2","Connecticut","2018/02",566,2018,"02",0,0,2265684,"0",0,0,0
"3","Connecticut","2018/03",610,2018,"03",0,0,2265684,"0",0,0,0
"4","Connecticut","2018/04",553,2018,"04",0,0,2265684,"0",0,0,0
"5","Connecticut","2018/05",566,2018,"05",0,0,2265684,"0",0,0,0
"6","Connecticut","2018/06",590,2018,"06",0,0,2265684,"0",0,0,0
"7","Connecticut","2018/07",606,2018,"07",0,0,2265684,"0",0,0,0
"8","Connecticut","2018/08",562,2018,"08",0,0,2265684,"0",0,0,0
"9","Connecticut","2018/09",562,2018,"09",0,0,2265684,"0",0,0,0
"10","Connecticut","2018/10",610,2018,"10",0,0,2265684,"0",0,0,0
"11","Connecticut","2018/11",597,2018,"11",0,0,2265684,"0",0,0,0
"12","Connecticut","2018/12",603,2018,"12",0,0,2265684,"0",0,0,0
"13","Connecticut","2019/01",650,2019,"01",0,0,2251341,"0",0,0,0
"14","Connecticut","2019/02",574,2019,"02",0,0,2251341,"0",0,0,0
"15","Connecticut","2019/03",602,2019,"03",0,0,2251341,"0",0,0,0
"16","Connecticut","2019/04",552,2019,"04",0,0,2251341,"0",0,0,0
"17","Connecticut","2019/05",564,2019,"05",0,0,2251341,"0",0,0,0
"18","Connecticut","2019/06",583,2019,"06",0,0,2251341,"0",0,0,0
"19","Connecticut","2019/07",620,2019,"07",0,0,2251341,"0",0,0,0
"20","Connecticut","2019/08",615,2019,"08",0,0,2251341,"0",0,0,0
"21","Connecticut","2019/09",536,2019,"09",0,0,2251341,"0",0,0,0
"22","Connecticut","2019/10",565,2019,"10",0,0,2251341,"0",0,0,0
"23","Connecticut","2019/11",572,2019,"11",0,0,2251341,"0",0,0,0
"24","Connecticut","2019/12",638,2019,"12",0,0,2251341,"0",0,0,0
"25","Connecticut","2020/01",646,2020,"01",0,0,2272268,"0",0,0,0
"26","Connecticut","2020/02",571,2020,"02",0,0,2272268,"0",0,0,0
"27","Connecticut","2020/03",656,2020,"03",0,0,2272268,"2020-03-31",9,3128,69
"28","Connecticut","2020/04",974,2020,"04",0,0,2272268,"2020-04-30",9,27700,2257
"29","Connecticut","2020/05",782,2020,"05",0,0,2272268,"2020-05-31",9,42201,3944
"30","Connecticut","2020/06",663,2020,"06",0,0,2272268,"2020-06-30",9,46514,4322
"31","Connecticut","2020/07",736,2020,"07",0,0,2272268,"2020-07-31",9,49810,4432
"32","Connecticut","2020/08",668,2020,"08",0,0,2272268,"2020-08-31",9,52879,4465
"33","Connecticut","2020/09",628,2020,"09",0,0,2272268,"2020-09-30",9,57550,4508
"34","Connecticut","2020/10",685,2020,"10",0,0,2272268,"2020-10-31",9,71207,4616
"35","Connecticut","2020/11",685,2020,"11",0,0,2272268,"2020-11-30",9,117295,5020
"36","Connecticut","2020/12",830,2020,"12",0,0,2272268,"2020-12-31",9,185708,5995
"37","Connecticut","2021/01",837,2021,"01",0,0,2272419,"2021-01-31",9,250023,7046
"38","Connecticut","2021/02",651,2021,"02",689900,0,2272419,"2021-02-28",9,279946,7622
"39","Connecticut","2021/03",727,2021,"03",734146,313069,2272419,"2021-03-31",9,310888,7886
"40","Connecticut","2021/04",655,2021,"04",1345366,857808,2272419,"2021-04-30",9,339233,8097
"41","Connecticut","2021/05",690,2021,"05",1554580,1327134,2272419,"2021-05-31",9,347341,8238
"42","Connecticut","2021/06",660,2021,"06",1644266,1486703,2272419,"2021-06-30",9,349352,8278
"43","Connecticut","2021/07",685,2021,"07",1719138,1552318,2272419,"2021-07-31",9,354335,8293
"44","Connecticut","2021/08",704,2021,"08",1815831,1621879,2272419,"2021-08-31",9,373072,8358
"45","Connecticut","2021/09",694,2021,"09",1884892,1694060,2272419,"2021-09-30",9,390345,8629
"46","Connecticut","2021/10",705,2021,"10",1943659,1748843,2272419,"2021-10-31",9,402583,8764
"47","Connecticut","2021/11",714,2021,"11",2019779,1783572,2272419,"2021-11-30",9,421692,8905
"48","Connecticut","2021/12",817,2021,"12",2127684,1811189,2272419,"2021-12-31",9,510188,9160
"49","Maine","2018/01",272,2018,"01",0,0,832977,"0",0,0,0
"50","Maine","2018/02",269,2018,"02",0,0,832977,"0",0,0,0
"51","Maine","2018/03",296,2018,"03",0,0,832977,"0",0,0,0
"52","Maine","2018/04",292,2018,"04",0,0,832977,"0",0,0,0
"53","Maine","2018/05",254,2018,"05",0,0,832977,"0",0,0,0
"54","Maine","2018/06",250,2018,"06",0,0,832977,"0",0,0,0
"55","Maine","2018/07",304,2018,"07",0,0,832977,"0",0,0,0
"56","Maine","2018/08",249,2018,"08",0,0,832977,"0",0,0,0
"57","Maine","2018/09",269,2018,"09",0,0,832977,"0",0,0,0
"58","Maine","2018/10",265,2018,"10",0,0,832977,"0",0,0,0
"59","Maine","2018/11",299,2018,"11",0,0,832977,"0",0,0,0
"60","Maine","2018/12",308,2018,"12",0,0,832977,"0",0,0,0
"61","Maine","2019/01",302,2019,"01",0,0,831103,"0",0,0,0
"62","Maine","2019/02",263,2019,"02",0,0,831103,"0",0,0,0
"63","Maine","2019/03",336,2019,"03",0,0,831103,"0",0,0,0
"64","Maine","2019/04",274,2019,"04",0,0,831103,"0",0,0,0
"65","Maine","2019/05",257,2019,"05",0,0,831103,"0",0,0,0
"66","Maine","2019/06",278,2019,"06",0,0,831103,"0",0,0,0
"67","Maine","2019/07",296,2019,"07",0,0,831103,"0",0,0,0
"68","Maine","2019/08",298,2019,"08",0,0,831103,"0",0,0,0
"69","Maine","2019/09",246,2019,"09",0,0,831103,"0",0,0,0
"70","Maine","2019/10",307,2019,"10",0,0,831103,"0",0,0,0
"71","Maine","2019/11",293,2019,"11",0,0,831103,"0",0,0,0
"72","Maine","2019/12",288,2019,"12",0,0,831103,"0",0,0,0
"73","Maine","2020/01",316,2020,"01",0,0,839774,"0",0,0,0
"74","Maine","2020/02",289,2020,"02",0,0,839774,"0",0,0,0
"75","Maine","2020/03",309,2020,"03",0,0,839774,"2020-03-31",23,303,5
"76","Maine","2020/04",283,2020,"04",0,0,839774,"2020-04-30",23,1095,53
"77","Maine","2020/05",324,2020,"05",0,0,839774,"2020-05-31",23,2325,89
"78","Maine","2020/06",283,2020,"06",0,0,839774,"2020-06-30",23,3253,105
"79","Maine","2020/07",333,2020,"07",0,0,839774,"2020-07-31",23,3912,123
"80","Maine","2020/08",284,2020,"08",0,0,839774,"2020-08-31",23,4526,132
"81","Maine","2020/09",302,2020,"09",0,0,839774,"2020-09-30",23,5391,141
"82","Maine","2020/10",311,2020,"10",0,0,839774,"2020-10-31",23,6668,147
"83","Maine","2020/11",283,2020,"11",0,0,839774,"2020-11-30",23,11757,194
"84","Maine","2020/12",322,2020,"12",0,0,839774,"2020-12-31",23,24201,347
"85","Maine","2021/01",348,2021,"01",0,0,843932,"2021-01-31",23,39324,590
"86","Maine","2021/02",293,2021,"02",227596,0,843932,"2021-02-28",23,44634,703
"87","Maine","2021/03",299,2021,"03",224759,103959,843932,"2021-03-31",23,50504,743
"88","Maine","2021/04",326,2021,"04",467323,290580,843932,"2021-04-30",23,61213,784
"89","Maine","2021/05",343,2021,"05",547298,471240,843932,"2021-05-31",23,67780,825
"90","Maine","2021/06",350,2021,"06",577600,526434,843932,"2021-06-30",23,69033,858
"91","Maine","2021/07",319,2021,"07",598189,551489,843932,"2021-07-31",23,70463,900
"92","Maine","2021/08",330,2021,"08",630817,574458,843932,"2021-08-31",23,75856,932
"93","Maine","2021/09",385,2021,"09",656330,603125,843932,"2021-09-30",23,89989,1022
"94","Maine","2021/10",394,2021,"10",675401,623424,843932,"2021-10-31",23,104259,1167
"95","Maine","2021/11",397,2021,"11",700670,639595,843932,"2021-11-30",23,119662,1324
"96","Maine","2021/12",462,2021,"12",734537,654181,843932,"2021-12-31",23,146736,1531
"97","Massachusetts","2018/01",1224,2018,"01",0,0,4462928,"0",0,0,0
"98","Massachusetts","2018/02",1025,2018,"02",0,0,4462928,"0",0,0,0
"99","Massachusetts","2018/03",1149,2018,"03",0,0,4462928,"0",0,0,0
"100","Massachusetts","2018/04",1058,2018,"04",0,0,4462928,"0",0,0,0
"101","Massachusetts","2018/05",1176,2018,"05",0,0,4462928,"0",0,0,0
"102","Massachusetts","2018/06",1114,2018,"06",0,0,4462928,"0",0,0,0
"103","Massachusetts","2018/07",1116,2018,"07",0,0,4462928,"0",0,0,0
"104","Massachusetts","2018/08",1092,2018,"08",0,0,4462928,"0",0,0,0
"105","Massachusetts","2018/09",1035,2018,"09",0,0,4462928,"0",0,0,0
"106","Massachusetts","2018/10",1071,2018,"10",0,0,4462928,"0",0,0,0
"107","Massachusetts","2018/11",1096,2018,"11",0,0,4462928,"0",0,0,0
"108","Massachusetts","2018/12",1116,2018,"12",0,0,4462928,"0",0,0,0
"109","Massachusetts","2019/01",1193,2019,"01",0,0,4455016,"0",0,0,0
"110","Massachusetts","2019/02",1125,2019,"02",0,0,4455016,"0",0,0,0
"111","Massachusetts","2019/03",1140,2019,"03",0,0,4455016,"0",0,0,0
"112","Massachusetts","2019/04",1078,2019,"04",0,0,4455016,"0",0,0,0
"113","Massachusetts","2019/05",1057,2019,"05",0,0,4455016,"0",0,0,0
"114","Massachusetts","2019/06",1044,2019,"06",0,0,4455016,"0",0,0,0
"115","Massachusetts","2019/07",1152,2019,"07",0,0,4455016,"0",0,0,0
"116","Massachusetts","2019/08",1067,2019,"08",0,0,4455016,"0",0,0,0
"117","Massachusetts","2019/09",1032,2019,"09",0,0,4455016,"0",0,0,0
"118","Massachusetts","2019/10",1087,2019,"10",0,0,4455016,"0",0,0,0
"119","Massachusetts","2019/11",1084,2019,"11",0,0,4455016,"0",0,0,0
"120","Massachusetts","2019/12",1182,2019,"12",0,0,4455016,"0",0,0,0
"121","Massachusetts","2020/01",1134,2020,"01",0,0,4534767,"0",0,0,0
