"","County","County.Code","Administered_Dose1_18_to_65","Series_Complete_18_to_65","Month.Code","Deaths","Month","Year","CTYNAME","STNAME","AGE18TO65","covid_deaths","covid_cases"
"1","Allegheny County, PA","42003",0,0,"2018/01",85,"01","2018","Allegheny County","Pennsylvania",759232,0,0
"2","Allegheny County, PA","42003",0,0,"2018/02",65,"02","2018","Allegheny County","Pennsylvania",759232,0,0
"3","Allegheny County, PA","42003",0,0,"2018/03",67,"03","2018","Allegheny County","Pennsylvania",759232,0,0
"4","Allegheny County, PA","42003",0,0,"2018/04",52,"04","2018","Allegheny County","Pennsylvania",759232,0,0
"5","Allegheny County, PA","42003",0,0,"2018/05",56,"05","2018","Allegheny County","Pennsylvania",759232,0,0
"6","Allegheny County, PA","42003",0,0,"2018/06",49,"06","2018","Allegheny County","Pennsylvania",759232,0,0
"7","Allegheny County, PA","42003",0,0,"2018/07",70,"07","2018","Allegheny County","Pennsylvania",759232,0,0
"8","Allegheny County, PA","42003",0,0,"2018/08",58,"08","2018","Allegheny County","Pennsylvania",759232,0,0
"9","Allegheny County, PA","42003",0,0,"2018/09",69,"09","2018","Allegheny County","Pennsylvania",759232,0,0
"10","Allegheny County, PA","42003",0,0,"2018/10",77,"10","2018","Allegheny County","Pennsylvania",759232,0,0
"11","Allegheny County, PA","42003",0,0,"2018/11",70,"11","2018","Allegheny County","Pennsylvania",759232,0,0
"12","Allegheny County, PA","42003",0,0,"2018/12",59,"12","2018","Allegheny County","Pennsylvania",759232,0,0
"13","Allegheny County, PA","42003",0,0,"2019/01",61,"01","2019","Allegheny County","Pennsylvania",754193,0,0
"14","Allegheny County, PA","42003",0,0,"2019/02",57,"02","2019","Allegheny County","Pennsylvania",754193,0,0
"15","Allegheny County, PA","42003",0,0,"2019/03",68,"03","2019","Allegheny County","Pennsylvania",754193,0,0
"16","Allegheny County, PA","42003",0,0,"2019/04",58,"04","2019","Allegheny County","Pennsylvania",754193,0,0
"17","Allegheny County, PA","42003",0,0,"2019/05",51,"05","2019","Allegheny County","Pennsylvania",754193,0,0
"18","Allegheny County, PA","42003",0,0,"2019/06",51,"06","2019","Allegheny County","Pennsylvania",754193,0,0
"19","Allegheny County, PA","42003",0,0,"2019/07",57,"07","2019","Allegheny County","Pennsylvania",754193,0,0
"20","Allegheny County, PA","42003",0,0,"2019/08",52,"08","2019","Allegheny County","Pennsylvania",754193,0,0
"21","Allegheny County, PA","42003",0,0,"2019/09",55,"09","2019","Allegheny County","Pennsylvania",754193,0,0
"22","Allegheny County, PA","42003",0,0,"2019/10",57,"10","2019","Allegheny County","Pennsylvania",754193,0,0
"23","Allegheny County, PA","42003",0,0,"2019/11",64,"11","2019","Allegheny County","Pennsylvania",754193,0,0
"24","Allegheny County, PA","42003",0,0,"2019/12",78,"12","2019","Allegheny County","Pennsylvania",754193,0,0
"25","Allegheny County, PA","42003",0,0,"2020/01",59,"01","2020","Allegheny County","Pennsylvania",772482,0,0
"26","Allegheny County, PA","42003",0,0,"2020/02",61,"02","2020","Allegheny County","Pennsylvania",772482,0,0
"27","Allegheny County, PA","42003",0,0,"2020/03",73,"03","2020","Allegheny County","Pennsylvania",772482,2,325
"28","Allegheny County, PA","42003",0,0,"2020/04",57,"04","2020","Allegheny County","Pennsylvania",772482,94,1289
"29","Allegheny County, PA","42003",0,0,"2020/05",57,"05","2020","Allegheny County","Pennsylvania",772482,163,1911
"30","Allegheny County, PA","42003",0,0,"2020/06",66,"06","2020","Allegheny County","Pennsylvania",772482,186,2760
"31","Allegheny County, PA","42003",0,0,"2020/07",78,"07","2020","Allegheny County","Pennsylvania",772482,239,8094
"32","Allegheny County, PA","42003",0,0,"2020/08",57,"08","2020","Allegheny County","Pennsylvania",772482,330,10347
"33","Allegheny County, PA","42003",0,0,"2020/09",72,"09","2020","Allegheny County","Pennsylvania",772482,382,12348
"34","Allegheny County, PA","42003",0,0,"2020/10",77,"10","2020","Allegheny County","Pennsylvania",772482,434,15796
"35","Allegheny County, PA","42003",0,0,"2020/11",72,"11","2020","Allegheny County","Pennsylvania",772482,510,28404
"36","Allegheny County, PA","42003",0,0,"2020/12",88,"12","2020","Allegheny County","Pennsylvania",772482,1009,53809
"37","Allegheny County, PA","42003",59069,21448,"2021/01",62,"01","2021","Allegheny County","Pennsylvania",761705,1520,69368
"38","Allegheny County, PA","42003",96137,50059,"2021/02",62,"02","2021","Allegheny County","Pennsylvania",761705,1720,76669
"39","Allegheny County, PA","42003",248384,124237,"2021/03",64,"03","2021","Allegheny County","Pennsylvania",761705,1814,85680
"40","Allegheny County, PA","42003",414605,273144,"2021/04",68,"04","2021","Allegheny County","Pennsylvania",761705,1897,97250
"41","Allegheny County, PA","42003",474170,388718,"2021/05",80,"05","2021","Allegheny County","Pennsylvania",761705,1980,101287
"42","Allegheny County, PA","42003",513205,437893,"2021/06",60,"06","2021","Allegheny County","Pennsylvania",761705,2015,101898
"43","Allegheny County, PA","42003",530257,454550,"2021/07",60,"07","2021","Allegheny County","Pennsylvania",761705,2027,103058
"44","Allegheny County, PA","42003",558213,472921,"2021/08",66,"08","2021","Allegheny County","Pennsylvania",761705,2066,109797
"45","Allegheny County, PA","42003",593508,503459,"2021/09",68,"09","2021","Allegheny County","Pennsylvania",761705,2164,120934
"46","Allegheny County, PA","42003",631251,519393,"2021/10",74,"10","2021","Allegheny County","Pennsylvania",761705,2343,132673
"47","Allegheny County, PA","42003",649999,498794,"2021/11",66,"11","2021","Allegheny County","Pennsylvania",761705,2490,150179
"48","Allegheny County, PA","42003",616439,538350,"2021/12",89,"12","2021","Allegheny County","Pennsylvania",761705,2725,176336
"49","Allen County, IN","18003",0,0,"2018/01",19,"01","2018","Allen County","Indiana",224039,0,0
"50","Allen County, IN","18003",0,0,"2018/02",21,"02","2018","Allen County","Indiana",224039,0,0
"51","Allen County, IN","18003",0,0,"2018/03",21,"03","2018","Allen County","Indiana",224039,0,0
"52","Allen County, IN","18003",0,0,"2018/04",14,"04","2018","Allen County","Indiana",224039,0,0
"53","Allen County, IN","18003",0,0,"2018/05",21,"05","2018","Allen County","Indiana",224039,0,0
"54","Allen County, IN","18003",0,0,"2018/06",12,"06","2018","Allen County","Indiana",224039,0,0
