"","State","Year","Month.Code","Deaths","Month","Administered_Dose1_18_to_65","Series_Complete_18_to_65","Population"
"1","Alabama",2022,"2022/01",2007,"01",1980923,1587252,5074296
"2","Alabama",2022,"2022/02",1733,"02",2003407,1609315,5074296
"3","Alabama",2022,"2022/03",1551,"03",2016395,1623155,5074296
"4","Alabama",2022,"2022/04",1406,"04",2029085,1634819,5074296
"5","Alabama",2022,"2022/05",1431,"05",2037717,1642546,5074296
"6","Alabama",2022,"2022/06",1480,"06",2045973,1646155,5074296
"7","Alabama",2022,"2022/07",1553,"07",2053808,1653401,5074296
"8","Alabama",2022,"2022/08",1496,"08",2061266,1661668,5074296
"9","Alabama",2022,"2022/09",1464,"09",2066272,1666036,5074296
"10","Alabama",2022,"2022/10",1563,"10",2072164,1672350,5074296
"11","Alabama",2022,"2022/11",1462,"11",2081997,1681366,5074296
"12","Alabama",2022,"2022/12",1579,"12",2086201,1684790,5074296
"13","Alabama",2023,"2023/01",1537,"01",2089120,1687033,NA
"14","Alabama",2023,"2023/02",1336,"02",2091043,1688525,NA
"15","Alabama",2023,"2023/03",1354,"03",2092119,1689360,NA
"16","Alaska",2022,"2022/01",216,"01",356052,306989,733583
"17","Alaska",2022,"2022/02",177,"02",359187,320161,733583
"18","Alaska",2022,"2022/03",184,"03",362627,323086,733583
"19","Alaska",2022,"2022/04",148,"04",364712,325606,733583
"20","Alaska",2022,"2022/05",158,"05",365590,326939,733583
"21","Alaska",2022,"2022/06",195,"06",368151,325885,733583
"22","Alaska",2022,"2022/07",199,"07",369149,326917,733583
"23","Alaska",2022,"2022/08",184,"08",370274,328256,733583
"24","Alaska",2022,"2022/09",173,"09",371260,329003,733583
"25","Alaska",2022,"2022/10",194,"10",372223,333817,733583
"26","Alaska",2022,"2022/11",178,"11",373819,334825,733583
"27","Alaska",2022,"2022/12",203,"12",374626,335383,733583
"28","Alaska",2023,"2023/01",189,"01",375189,335732,NA
"29","Alaska",2023,"2023/02",152,"02",375638,336036,NA
"30","Alaska",2023,"2023/03",135,"03",375856,336220,NA
"31","Arizona",2022,"2022/01",2255,"01",3276803,2772914,7359197
"32","Arizona",2022,"2022/02",1706,"02",3332341,2818627,7359197
"33","Arizona",2022,"2022/03",1634,"03",3365080,2845697,7359197
"34","Arizona",2022,"2022/04",1516,"04",3393134,2867336,7359197
"35","Arizona",2022,"2022/05",1603,"05",3417591,2882962,7359197
"36","Arizona",2022,"2022/06",1577,"06",3441462,2895421,7359197
"37","Arizona",2022,"2022/07",1822,"07",3460300,2907222,7359197
"38","Arizona",2022,"2022/08",1591,"08",3478285,2919684,7359197
"39","Arizona",2022,"2022/09",1524,"09",3495658,2930295,7359197
"40","Arizona",2022,"2022/10",1505,"10",3519743,2945984,7359197
"41","Arizona",2022,"2022/11",1547,"11",3534678,3025448,7359197
"42","Arizona",2022,"2022/12",1739,"12",3553409,3033235,7359197
"43","Arizona",2023,"2023/01",1602,"01",3567075,3038816,NA
"44","Arizona",2023,"2023/02",1409,"02",3586890,3044519,NA
"45","Arizona",2023,"2023/03",1551,"03",3592787,3046537,NA
"46","Arkansas",2022,"2022/01",1157,"01",1280326,1035931,3045637
"47","Arkansas",2022,"2022/02",983,"02",1294204,1049079,3045637
"48","Arkansas",2022,"2022/03",925,"03",1302878,1057738,3045637
"49","Arkansas",2022,"2022/04",792,"04",1311288,1064776,3045637
"50","Arkansas",2022,"2022/05",890,"05",1317379,1069897,3045637
"51","Arkansas",2022,"2022/06",779,"06",1325311,1075374,3045637
"52","Arkansas",2022,"2022/07",863,"07",1329747,1078997,3045637
"53","Arkansas",2022,"2022/08",876,"08",1336301,1084723,3045637
"54","Arkansas",2022,"2022/09",809,"09",1340733,1087953,3045637
"55","Arkansas",2022,"2022/10",845,"10",1347527,1093475,3045637
"56","Arkansas",2022,"2022/11",853,"11",1354722,1098613,3045637
"57","Arkansas",2022,"2022/12",951,"12",1358706,1101244,3045637
"58","Arkansas",2023,"2023/01",914,"01",1361884,1103281,NA
"59","Arkansas",2023,"2023/02",753,"02",1363483,1104328,NA
"60","Arkansas",2023,"2023/03",813,"03",1364608,1105114,NA
"61","California",2022,"2022/01",8992,"01",22141583,19118252,39029342
"62","California",2022,"2022/02",7275,"02",22500848,19376510,39029342
"63","California",2022,"2022/03",6678,"03",22650802,19509878,39029342
"64","California",2022,"2022/04",6127,"04",22934161,19717424,39029342
"65","California",2022,"2022/05",6361,"05",22622139,19853217,39029342
"66","California",2022,"2022/06",6386,"06",22694825,19881439,39029342
"67","California",2022,"2022/07",6796,"07",22773834,19936304,39029342
"68","California",2022,"2022/08",6705,"08",22848019,19988409,39029342
"69","California",2022,"2022/09",6628,"09",22923806,20040704,39029342
"70","California",2022,"2022/10",6287,"10",23124154,20132848,39029342
"71","California",2022,"2022/11",6509,"11",22775207,20089704,39029342
"72","California",2022,"2022/12",7009,"12",22852115,20133538,39029342
"73","California",2023,"2023/01",6930,"01",22922710,20175690,NA
"74","California",2023,"2023/02",5944,"02",22960584,20194233,NA
"75","California",2023,"2023/03",6243,"03",22990842,20220570,NA
"76","Colorado",2022,"2022/01",1467,"01",3120547,2747950,5839926
"77","Colorado",2022,"2022/02",1032,"02",3154854,2779008,5839926
"78","Colorado",2022,"2022/03",1036,"03",3172275,2795654,5839926
"79","Colorado",2022,"2022/04",1065,"04",3187777,2809519,5839926
